OrderItemID,OrderID,ProductID,Quantity,SellingPrice,Total
OI00315,O0165,P042,2,2657,5314
OI00316,O0166,P030,1,1412,1412
OI00317,O0166,P035,1,3866,3866
OI00318,O0167,P043,3,4169,12507
OI00319,O0167,P010,3,3516,10548
OI00320,O0168,P025,2,455,910
OI00321,O0169,P004,1,792,792
OI00322,O0169,P028,2,3193,6386
OI00323,O0169,P022,3,3180,9540
OI00324,O0170,P037,2,1879,3758
OI00325,O0170,P028,1,3193,3193
OI00326,O0171,P032,3,2267,6801
OI00327,O0171,P040,3,3366,10098
OI00328,O0171,P025,1,455,455
OI00329,O0172,P028,3,3193,9579
OI00330,O0172,P015,1,1353,1353
OI00331,O0173,P026,1,2450,2450
OI00332,O0173,P013,1,1387,1387
OI00333,O0173,P020,1,435,435
OI00334,O0174,P041,2,622,1244
OI00335,O0174,P015,2,1353,2706
OI00336,O0175,P015,2,1353,2706
OI00337,O0176,P049,3,3351,10053
OI00338,O0176,P029,3,3794,11382
OI00339,O0176,P013,1,1387,1387
OI00340,O0177,P028,3,3193,9579
OI00341,O0177,P037,3,1879,5637
OI00342,O0178,P034,2,2085,4170
OI00343,O0178,P044,3,3838,11514
OI00344,O0178,P047,2,4495,8990
OI00345,O0179,P028,2,3193,6386
OI00346,O0179,P003,1,1223,1223
OI00347,O0179,P048,2,3589,7178
OI00348,O0180,P050,1,1876,1876
OI00349,O0181,P018,1,872,872
OI00350,O0181,P001,3,284,852
OI00351,O0181,P025,2,455,910
OI00352,O0182,P010,2,3516,7032
OI00353,O0183,P020,3,435,1305
OI00354,O0184,P036,2,2291,4582
OI00355,O0184,P041,2,622,1244
OI00356,O0185,P033,1,1481,1481
OI00357,O0185,P010,2,3516,7032
OI00358,O0185,P020,1,435,435
OI00359,O0186,P048,2,3589,7178
OI00360,O0187,P005,2,3536,7072
OI00361,O0188,P037,2,1879,3758
OI00362,O0189,P032,1,2267,2267
OI00363,O0190,P029,2,3794,7588
OI00364,O0191,P031,1,2990,2990
OI00365,O0191,P045,1,2249,2249
OI00366,O0191,P042,1,2657,2657
OI00367,O0192,P035,1,3866,3866
OI00368,O0192,P050,2,1876,3752
OI00369,O0193,P029,2,3794,7588
OI00370,O0194,P035,2,3866,7732
OI00371,O0194,P050,1,1876,1876
OI00372,O0195,P019,3,2897,8691
OI00373,O0195,P022,1,3180,3180
OI00374,O0195,P047,3,4495,13485
OI00375,O0196,P027,1,1987,1987
OI00376,O0196,P016,3,2837,8511
OI00377,O0197,P017,2,839,1678
OI00378,O0198,P001,2,284,568
OI00379,O0198,P048,1,3589,3589
OI00380,O0198,P020,1,435,435
OI00381,O0199,P014,2,2867,5734
OI00382,O0199,P046,3,2100,6300
OI00383,O0199,P018,1,872,872
OI00384,O0200,P023,1,2481,2481
OI00385,O0201,P030,2,1412,2824
OI00386,O0201,P022,1,3180,3180
OI00387,O0202,P025,1,455,455
OI00388,O0202,P017,2,839,1678
OI00389,O0203,P025,3,455,1365
OI00390,O0203,P049,2,3351,6702
OI00391,O0204,P050,3,1876,5628
OI00392,O0204,P047,1,4495,4495
OI00393,O0205,P039,2,342,684
OI00394,O0205,P004,2,792,1584
OI00395,O0205,P027,2,1987,3974
OI00396,O0206,P039,1,342,342
OI00397,O0206,P023,3,2481,7443
OI00398,O0207,P027,3,1987,5961
OI00399,O0207,P018,2,872,1744
OI00400,O0207,P017,2,839,1678
OI00401,O0208,P038,3,538,1614
OI00402,O0208,P009,2,1708,3416
OI00403,O0208,P041,1,622,622
OI00404,O0209,P025,3,455,1365
OI00405,O0209,P037,1,1879,1879
OI00406,O0210,P019,1,2897,2897
OI00407,O0210,P043,3,4169,12507
OI00408,O0211,P049,1,3351,3351
OI00409,O0212,P046,2,2100,4200
OI00410,O0213,P017,1,839,839
OI00411,O0214,P023,2,2481,4962
OI00412,O0214,P020,3,435,1305
OI00413,O0214,P009,2,1708,3416
OI00414,O0215,P006,3,324,972
OI00415,O0216,P032,1,2267,2267
OI00416,O0217,P022,3,3180,9540
OI00417,O0217,P006,2,324,648
OI00418,O0217,P028,2,3193,6386
OI00419,O0218,P049,3,3351,10053
OI00420,O0218,P039,3,342,1026
OI00421,O0219,P013,3,1387,4161
OI00422,O0219,P033,1,1481,1481
OI00423,O0220,P015,3,1353,4059
OI00424,O0220,P023,3,2481,7443
OI00425,O0220,P043,1,4169,4169
OI00426,O0221,P048,2,3589,7178
OI00427,O0222,P026,2,2450,4900
OI00428,O0222,P043,1,4169,4169
OI00429,O0222,P010,2,3516,7032
OI00430,O0223,P005,3,3536,10608
OI00431,O0223,P011,1,3759,3759
OI00432,O0223,P039,3,342,1026
OI00433,O0224,P031,3,2990,8970
OI00434,O0224,P037,3,1879,5637
OI00435,O0224,P016,3,2837,8511
OI00436,O0225,P044,3,3838,11514
OI00437,O0225,P028,2,3193,6386
OI00438,O0225,P022,3,3180,9540
OI00439,O0226,P007,3,1871,5613
OI00440,O0226,P050,2,1876,3752
OI00441,O0226,P003,3,1223,3669
OI00442,O0227,P026,1,2450,2450
OI00443,O0227,P005,3,3536,10608
OI00444,O0228,P001,2,284,568
OI00445,O0229,P009,1,1708,1708
OI00446,O0229,P018,2,872,1744
OI00447,O0230,P026,2,2450,4900
OI00448,O0231,P033,3,1481,4443
OI00449,O0231,P006,2,324,648
OI00450,O0232,P050,2,1876,3752
OI00451,O0233,P028,2,3193,6386
OI00452,O0234,P046,2,2100,4200
OI00453,O0235,P043,1,4169,4169
OI00454,O0235,P033,1,1481,1481
OI00455,O0235,P046,2,2100,4200
OI00456,O0236,P042,1,2657,2657
OI00457,O0236,P039,3,342,1026
OI00458,O0237,P006,3,324,972
OI00459,O0237,P023,2,2481,4962
OI00460,O0238,P029,2,3794,7588
OI00461,O0239,P025,3,455,1365
OI00462,O0239,P038,2,538,1076
OI00463,O0239,P047,3,4495,13485
OI00464,O0240,P031,2,2990,5980
OI00465,O0240,P001,1,284,284
OI00466,O0240,P049,3,3351,10053
OI00467,O0241,P033,3,1481,4443
OI00468,O0241,P032,3,2267,6801
OI00469,O0242,P038,2,538,1076
OI00470,O0242,P049,1,3351,3351
OI00471,O0243,P024,3,1655,4965
OI00472,O0243,P027,3,1987,5961
OI00473,O0244,P014,1,2867,2867
OI00474,O0244,P034,3,2085,6255
OI00475,O0244,P036,1,2291,2291
OI00476,O0245,P036,1,2291,2291
OI00477,O0245,P042,1,2657,2657
OI00478,O0245,P015,3,1353,4059
OI00479,O0246,P011,1,3759,3759
OI00480,O0246,P021,2,4472,8944
OI00481,O0247,P017,1,839,839
OI00482,O0247,P012,3,2358,7074
OI00483,O0247,P041,1,622,622
OI00484,O0248,P008,2,4219,8438
OI00485,O0249,P009,1,1708,1708
OI00486,O0249,P045,1,2249,2249
OI00487,O0250,P018,1,872,872
OI00488,O0250,P016,3,2837,8511
OI00489,O0250,P025,3,455,1365
OI00490,O0251,P025,3,455,1365
OI00491,O0252,P028,1,3193,3193
OI00492,O0252,P008,2,4219,8438
OI00493,O0253,P034,1,2085,2085
OI00494,O0254,P032,3,2267,6801
OI00495,O0255,P043,3,4169,12507
OI00496,O0256,P033,3,1481,4443
OI00497,O0257,P017,3,839,2517
OI00498,O0257,P034,1,2085,2085
OI00499,O0258,P015,3,1353,4059
OI00500,O0258,P039,1,342,342
OI00501,O0258,P029,3,3794,11382
OI00502,O0259,P003,2,1223,2446
OI00503,O0260,P038,3,538,1614
OI00504,O0260,P019,1,2897,2897
OI00505,O0260,P006,2,324,648
OI00506,O0261,P048,2,3589,7178
OI00507,O0261,P030,2,1412,2824
OI00508,O0261,P012,1,2358,2358
OI00509,O0262,P008,1,4219,4219
OI00510,O0262,P015,1,1353,1353
OI00511,O0262,P028,3,3193,9579
OI00512,O0263,P044,3,3838,11514
OI00513,O0263,P020,2,435,870
OI00514,O0263,P004,2,792,1584
OI00515,O0264,P031,2,2990,5980
OI00516,O0265,P035,2,3866,7732
OI00517,O0265,P015,2,1353,2706
OI00518,O0266,P024,1,1655,1655
OI00519,O0266,P049,1,3351,3351
OI00520,O0266,P035,3,3866,11598
OI00521,O0267,P042,2,2657,5314
OI00522,O0267,P035,3,3866,11598
OI00523,O0267,P028,1,3193,3193
OI00524,O0268,P038,2,538,1076
OI00525,O0269,P017,3,839,2517
OI00526,O0269,P002,3,2086,6258
OI00527,O0270,P047,3,4495,13485
OI00528,O0270,P009,3,1708,5124
OI00529,O0271,P002,1,2086,2086
OI00530,O0271,P022,3,3180,9540
OI00531,O0271,P039,3,342,1026
OI00532,O0272,P005,1,3536,3536
OI00533,O0272,P038,3,538,1614
OI00534,O0272,P015,3,1353,4059
OI00535,O0273,P040,3,3366,10098
OI00536,O0274,P048,1,3589,3589
OI00537,O0274,P002,2,2086,4172
OI00538,O0274,P037,2,1879,3758
OI00539,O0275,P044,2,3838,7676
OI00540,O0275,P046,3,2100,6300
OI00541,O0276,P025,2,455,910
OI00542,O0276,P033,1,1481,1481
OI00543,O0277,P032,2,2267,4534
OI00544,O0277,P035,2,3866,7732
OI00545,O0278,P049,1,3351,3351
OI00546,O0279,P009,2,1708,3416
OI00547,O0280,P016,2,2837,5674
OI00548,O0281,P033,2,1481,2962
OI00549,O0281,P049,3,3351,10053
OI00550,O0281,P009,1,1708,1708
OI00551,O0282,P044,3,3838,11514
OI00552,O0282,P028,3,3193,9579
OI00553,O0282,P028,1,3193,3193
OI00554,O0283,P001,1,284,284
OI00555,O0283,P020,1,435,435
OI00556,O0283,P034,1,2085,2085
OI00557,O0284,P048,3,3589,10767
OI00558,O0284,P040,2,3366,6732
OI00559,O0284,P017,1,839,839
OI00560,O0285,P046,2,2100,4200
OI00561,O0285,P025,1,455,455
OI00562,O0286,P002,1,2086,2086
OI00563,O0286,P024,2,1655,3310
OI00564,O0287,P025,1,455,455
OI00565,O0287,P006,2,324,648
OI00566,O0288,P019,3,2897,8691
OI00567,O0288,P001,1,284,284
OI00568,O0289,P027,1,1987,1987
OI00569,O0289,P004,2,792,1584
OI00570,O0289,P007,1,1871,1871
OI00571,O0290,P009,1,1708,1708
OI00572,O0290,P002,3,2086,6258
OI00573,O0291,P028,1,3193,3193
OI00574,O0291,P008,1,4219,4219
OI00575,O0291,P044,1,3838,3838
OI00576,O0292,P005,2,3536,7072
OI00577,O0293,P050,3,1876,5628
OI00578,O0294,P023,2,2481,4962
OI00579,O0294,P017,2,839,1678
OI00580,O0295,P020,3,435,1305
OI00581,O0295,P027,2,1987,3974
OI00582,O0296,P028,2,3193,6386
OI00583,O0296,P046,1,2100,2100
OI00584,O0297,P023,3,2481,7443
OI00585,O0297,P029,3,3794,11382
OI00586,O0297,P045,2,2249,4498
OI00587,O0298,P037,1,1879,1879
OI00588,O0298,P039,2,342,684
OI00589,O0298,P029,3,3794,11382
OI00590,O0299,P026,1,2450,2450
OI00591,O0299,P023,3,2481,7443
OI00592,O0300,P004,3,792,2376
OI00593,O0300,P019,1,2897,2897
OI00594,O0300,P048,3,3589,10767
