PaymentID,OrderID,Amount,Method,Status
PAY0090,O0090,7916,Card,Success
PAY0091,O0091,2706,UPI,Success
PAY0092,O0092,13863,Card,Success
PAY0093,O0093,11220,UPI,Success
PAY0094,O0094,14298,UPI,Success
PAY0095,O0095,15687,COD,Success
PAY0096,O0096,2517,UPI,Success
PAY0097,O0097,3844,Card,Success
PAY0098,O0098,14627,Card,Success
PAY0099,O0099,7217,COD,Success
PAY0100,O0100,8816,COD,Success
PAY0101,O0101,10608,UPI,Success
PAY0102,O0102,14596,COD,Success
PAY0103,O0103,284,COD,Success
PAY0104,O0104,12049,UPI,Success
PAY0105,O0105,12082,COD,Success
PAY0106,O0106,12801,COD,Success
PAY0107,O0107,1871,COD,Success
PAY0108,O0108,6801,COD,Success
PAY0109,O0109,7732,UPI,Success
PAY0110,O0110,1614,Card,Success
PAY0111,O0111,6258,Card,Success
PAY0112,O0112,1412,Card,Success
PAY0113,O0113,22360,COD,Success
PAY0114,O0114,14169,COD,Success
PAY0115,O0115,3689,Card,Success
PAY0116,O0116,7350,Card,Success
PAY0117,O0117,16968,COD,Success
PAY0118,O0118,5262,COD,Success
PAY0119,O0119,9855,COD,Success
PAY0120,O0120,11502,UPI,Success
PAY0121,O0121,10128,COD,Success
PAY0122,O0122,972,COD,Success
PAY0123,O0123,6453,COD,Success
PAY0124,O0124,15633,UPI,Success
PAY0125,O0125,12519,COD,Success
PAY0126,O0126,1387,UPI,Success
PAY0127,O0127,4161,UPI,Success
PAY0128,O0128,19641,COD,Success
PAY0129,O0129,10098,Card,Success
PAY0130,O0130,7443,Card,Success
PAY0131,O0131,5484,Card,Success
PAY0132,O0132,6269,COD,Success
PAY0133,O0133,2267,Card,Success
PAY0134,O0134,2837,COD,Success
PAY0135,O0135,5980,UPI,Success
PAY0136,O0136,839,COD,Success
PAY0137,O0137,10147,COD,Success
PAY0138,O0138,7074,COD,Success
PAY0139,O0139,8388,COD,Success
PAY0140,O0140,2962,COD,Success
PAY0141,O0141,25641,Card,Success
PAY0142,O0142,8953,COD,Success
PAY0143,O0143,8908,Card,Success
PAY0144,O0144,15862,Card,Success
PAY0145,O0145,2291,UPI,Success
PAY0146,O0146,10176,COD,Success
PAY0147,O0147,9783,Card,Success
PAY0148,O0148,7265,Card,Success
PAY0149,O0149,8343,Card,Success
PAY0150,O0150,20686,UPI,Success
PAY0151,O0151,538,UPI,Success
PAY0152,O0152,11273,COD,Success
PAY0153,O0153,7909,Card,Success
PAY0154,O0154,3536,COD,Success
PAY0155,O0155,24340,Card,Success
PAY0156,O0156,11030,COD,Success
PAY0157,O0157,5794,COD,Success
PAY0158,O0158,6386,Card,Success
PAY0159,O0159,2450,Card,Success
PAY0160,O0160,13299,Card,Success
PAY0161,O0161,13382,COD,Success
PAY0162,O0162,5734,UPI,Success
PAY0163,O0163,3673,Card,Success
PAY0164,O0164,15119,UPI,Success
PAY0165,O0165,7400,COD,Success
PAY0166,O0166,5278,COD,Success
PAY0167,O0167,23055,Card,Success
PAY0168,O0168,910,UPI,Success
PAY0169,O0169,16718,UPI,Success
PAY0170,O0170,6951,COD,Success
PAY0171,O0171,17354,Card,Success
PAY0172,O0172,10932,UPI,Success
PAY0173,O0173,4272,COD,Success
PAY0174,O0174,3950,Card,Success
PAY0175,O0175,2706,UPI,Success
PAY0176,O0176,22822,Card,Success
PAY0177,O0177,15216,COD,Success
PAY0178,O0178,24674,UPI,Success
PAY0179,O0179,14787,Card,Success
PAY0180,O0180,1876,UPI,Success
PAY0181,O0181,2634,UPI,Success
PAY0182,O0182,7032,Card,Success
PAY0183,O0183,1305,UPI,Success
PAY0184,O0184,5826,Card,Success
PAY0185,O0185,8948,COD,Success
PAY0186,O0186,7178,UPI,Success
PAY0187,O0187,7072,UPI,Success
PAY0188,O0188,3758,COD,Success
PAY0189,O0189,2267,Card,Success
PAY0190,O0190,7588,Card,Success
PAY0191,O0191,7896,Card,Success
PAY0192,O0192,7618,UPI,Success
PAY0193,O0193,7588,COD,Success
PAY0194,O0194,9608,COD,Success
PAY0195,O0195,25356,Card,Success
PAY0196,O0196,10498,Card,Success
PAY0197,O0197,1678,UPI,Success
PAY0198,O0198,4592,Card,Success
PAY0199,O0199,12906,UPI,Success
PAY0200,O0200,2481,UPI,Success
PAY0201,O0201,6004,COD,Success
PAY0202,O0202,2133,Card,Success
PAY0203,O0203,8067,Card,Success
PAY0204,O0204,10123,COD,Success
PAY0205,O0205,6242,COD,Success
PAY0206,O0206,7785,Card,Success
PAY0207,O0207,9383,COD,Success
PAY0208,O0208,5652,UPI,Success
PAY0209,O0209,3244,COD,Success
PAY0210,O0210,15404,UPI,Success
PAY0211,O0211,3351,UPI,Success
PAY0212,O0212,4200,Card,Success
PAY0213,O0213,839,UPI,Success
PAY0214,O0214,9683,COD,Success
PAY0215,O0215,972,COD,Success
PAY0216,O0216,2267,UPI,Success
PAY0217,O0217,16574,COD,Success
PAY0218,O0218,11079,Card,Success
PAY0219,O0219,5642,Card,Success
PAY0220,O0220,15671,UPI,Success
PAY0221,O0221,7178,UPI,Success
PAY0222,O0222,16101,UPI,Success
PAY0223,O0223,15393,COD,Success
PAY0224,O0224,23118,Card,Success
PAY0225,O0225,27440,UPI,Success
PAY0226,O0226,13034,Card,Success
PAY0227,O0227,13058,UPI,Success
PAY0228,O0228,568,COD,Success
PAY0229,O0229,3452,COD,Success
PAY0230,O0230,4900,Card,Success
PAY0231,O0231,5091,UPI,Success
PAY0232,O0232,3752,COD,Success
PAY0233,O0233,6386,COD,Success
PAY0234,O0234,4200,Card,Success
PAY0235,O0235,9850,UPI,Success
PAY0236,O0236,3683,COD,Success
PAY0237,O0237,5934,COD,Success
PAY0238,O0238,7588,Card,Success
PAY0239,O0239,15926,UPI,Success
PAY0240,O0240,16317,COD,Success
PAY0241,O0241,11244,Card,Success
PAY0242,O0242,4427,Card,Success
PAY0243,O0243,10926,COD,Success
PAY0244,O0244,11413,COD,Success
PAY0245,O0245,9007,COD,Success
PAY0246,O0246,12703,COD,Success
PAY0247,O0247,8535,COD,Success
PAY0248,O0248,8438,COD,Success
PAY0249,O0249,3957,Card,Success
PAY0250,O0250,10748,Card,Success
PAY0251,O0251,1365,COD,Success
PAY0252,O0252,11631,COD,Success
PAY0253,O0253,2085,COD,Success
PAY0254,O0254,6801,COD,Success
PAY0255,O0255,12507,UPI,Success
PAY0256,O0256,4443,UPI,Success
PAY0257,O0257,4602,Card,Success
PAY0258,O0258,15783,COD,Success
PAY0259,O0259,2446,Card,Success
PAY0260,O0260,5159,Card,Success
PAY0261,O0261,12360,UPI,Success
PAY0262,O0262,15151,Card,Success
PAY0263,O0263,13968,COD,Success
PAY0264,O0264,5980,Card,Success
PAY0265,O0265,10438,Card,Success
PAY0266,O0266,16604,UPI,Success
PAY0267,O0267,20105,COD,Success
PAY0268,O0268,1076,UPI,Success
PAY0269,O0269,8775,UPI,Success
PAY0270,O0270,18609,Card,Success
PAY0271,O0271,12652,UPI,Success
PAY0272,O0272,9209,Card,Success
PAY0273,O0273,10098,Card,Success
PAY0274,O0274,11519,UPI,Success
PAY0275,O0275,13976,UPI,Success
PAY0276,O0276,2391,UPI,Success
PAY0277,O0277,12266,Card,Success
PAY0278,O0278,3351,COD,Success
PAY0279,O0279,3416,Card,Success
PAY0280,O0280,5674,Card,Success
PAY0281,O0281,14723,UPI,Success
PAY0282,O0282,24286,UPI,Success
PAY0283,O0283,2804,COD,Success
PAY0284,O0284,18338,Card,Success
PAY0285,O0285,4655,COD,Success
PAY0286,O0286,5396,COD,Success
PAY0287,O0287,1103,Card,Success
PAY0288,O0288,8975,Card,Success
PAY0289,O0289,5442,Card,Success
PAY0290,O0290,7966,COD,Success
PAY0291,O0291,11250,COD,Success
PAY0292,O0292,7072,Card,Success
PAY0293,O0293,5628,COD,Success
PAY0294,O0294,6640,Card,Success
PAY0295,O0295,5279,Card,Success
PAY0296,O0296,8486,COD,Success
PAY0297,O0297,23323,Card,Success
PAY0298,O0298,13945,COD,Success
PAY0299,O0299,9893,Card,Success
PAY0300,O0300,16040,UPI,Success
