OrderID,CustomerID,OrderDate,Status,WarehouseID,EmployeeID
O0154,C093,2025-03-25,Cancelled,W001,E001
O0155,C007,2025-06-22,Delivered,W002,E008
O0156,C054,2025-03-11,Delivered,W001,E006
O0157,C087,2025-06-01,Shipped,W002,E001
O0158,C008,2025-01-02,Delivered,W002,E004
O0159,C042,2025-01-31,Delivered,W002,E007
O0160,C069,2025-06-30,Delivered,W002,E002
O0161,C003,2025-04-28,Delivered,W002,E010
O0162,C082,2025-04-17,Shipped,W001,E007
O0163,C080,2025-04-28,Cancelled,W002,E002
O0164,C076,2025-04-13,Cancelled,W001,E007
O0165,C043,2025-02-13,Delivered,W001,E009
O0166,C083,2025-02-07,Delivered,W001,E003
O0167,C020,2025-06-17,Delivered,W001,E008
O0168,C088,2025-05-25,Cancelled,W002,E006
O0169,C061,2025-04-24,Cancelled,W002,E005
O0170,C040,2025-04-29,Shipped,W001,E001
O0171,C012,2025-06-07,Cancelled,W002,E008
O0172,C074,2025-06-16,Delivered,W002,E010
O0173,C058,2025-01-27,Shipped,W001,E009
O0174,C057,2025-04-23,Cancelled,W001,E006
O0175,C100,2025-03-28,Cancelled,W001,E006
O0176,C072,2025-06-23,Shipped,W002,E005
O0177,C011,2025-05-30,Cancelled,W001,E006
O0178,C051,2025-02-03,Cancelled,W001,E005
O0179,C086,2025-06-29,Cancelled,W001,E007
O0180,C024,2025-02-24,Shipped,W002,E004
O0181,C010,2025-03-17,Delivered,W001,E006
O0182,C021,2025-02-16,Cancelled,W001,E008
O0183,C087,2025-03-02,Shipped,W002,E008
O0184,C040,2025-05-01,Delivered,W002,E010
O0185,C065,2025-05-16,Shipped,W001,E004
O0186,C062,2025-04-06,Cancelled,W001,E009
O0187,C098,2025-02-11,Shipped,W002,E009
O0188,C029,2025-04-26,Shipped,W001,E007
O0189,C048,2025-03-02,Shipped,W001,E006
O0190,C013,2025-06-16,Shipped,W001,E003
O0191,C090,2025-02-05,Cancelled,W002,E008
O0192,C028,2025-02-08,Cancelled,W002,E002
O0193,C007,2025-03-03,Shipped,W002,E002
O0194,C069,2025-01-05,Cancelled,W001,E003
O0195,C046,2025-03-03,Cancelled,W002,E003
O0196,C009,2025-05-15,Cancelled,W001,E007
O0197,C048,2025-03-06,Cancelled,W001,E006
O0198,C094,2025-06-18,Cancelled,W001,E010
O0199,C070,2025-03-28,Cancelled,W001,E008
O0200,C009,2025-04-28,Delivered,W002,E004
O0201,C041,2025-03-21,Cancelled,W002,E009
O0202,C025,2025-03-15,Shipped,W001,E006
O0203,C052,2025-04-23,Shipped,W002,E003
O0204,C067,2025-03-10,Delivered,W002,E002
O0205,C038,2025-03-24,Delivered,W001,E006
O0206,C092,2025-04-20,Delivered,W002,E006
O0207,C079,2025-04-22,Shipped,W001,E002
O0208,C096,2025-06-23,Delivered,W001,E003
O0209,C009,2025-03-02,Cancelled,W002,E006
O0210,C020,2025-06-23,Shipped,W002,E006
O0211,C068,2025-04-04,Shipped,W002,E005
O0212,C095,2025-02-17,Shipped,W002,E009
O0213,C091,2025-04-25,Delivered,W002,E008
O0214,C010,2025-04-26,Delivered,W002,E002
O0215,C009,2025-05-21,Cancelled,W002,E005
O0216,C090,2025-06-13,Delivered,W002,E009
O0217,C018,2025-03-02,Shipped,W001,E006
O0218,C017,2025-06-06,Delivered,W001,E005
O0219,C068,2025-04-16,Shipped,W001,E003
O0220,C060,2025-06-24,Cancelled,W002,E003
O0221,C056,2025-05-09,Delivered,W001,E009
O0222,C021,2025-03-24,Cancelled,W001,E006
O0223,C082,2025-05-22,Shipped,W001,E005
O0224,C022,2025-06-01,Cancelled,W001,E003
O0225,C073,2025-01-11,Delivered,W001,E001
O0226,C099,2025-05-27,Shipped,W001,E008
O0227,C062,2025-03-04,Cancelled,W002,E005
O0228,C021,2025-04-23,Shipped,W002,E008
O0229,C019,2025-03-22,Cancelled,W002,E006
O0230,C072,2025-01-28,Shipped,W001,E008
O0231,C032,2025-02-06,Delivered,W001,E005
O0232,C021,2025-03-25,Cancelled,W002,E004
O0233,C060,2025-05-08,Shipped,W002,E001
O0234,C059,2025-03-03,Delivered,W002,E001
O0235,C077,2025-06-17,Cancelled,W002,E005
O0236,C034,2025-04-04,Shipped,W002,E001
O0237,C025,2025-04-03,Cancelled,W002,E002
O0238,C036,2025-06-09,Cancelled,W001,E003
O0239,C044,2025-05-23,Shipped,W001,E004
O0240,C006,2025-01-10,Delivered,W002,E008
O0241,C018,2025-03-25,Cancelled,W002,E003
O0242,C076,2025-03-28,Cancelled,W002,E010
O0243,C043,2025-06-22,Delivered,W002,E010
O0244,C004,2025-06-02,Shipped,W002,E010
O0245,C062,2025-02-13,Cancelled,W002,E003
O0246,C015,2025-02-18,Delivered,W002,E006
O0247,C027,2025-04-16,Cancelled,W002,E001
O0248,C042,2025-06-19,Shipped,W002,E006
O0249,C044,2025-05-20,Shipped,W002,E010
O0250,C072,2025-03-18,Delivered,W002,E005
O0251,C041,2025-05-03,Shipped,W002,E005
O0252,C070,2025-04-08,Shipped,W002,E003
O0253,C011,2025-03-30,Shipped,W002,E008
O0254,C035,2025-05-24,Cancelled,W002,E003
O0255,C076,2025-03-03,Delivered,W001,E009
O0256,C007,2025-01-26,Shipped,W002,E008
O0257,C001,2025-05-21,Delivered,W002,E008
O0258,C042,2025-03-15,Cancelled,W001,E002
O0259,C093,2025-01-10,Delivered,W002,E003
O0260,C024,2025-03-16,Delivered,W001,E005
O0261,C059,2025-06-14,Cancelled,W002,E003
O0262,C043,2025-02-11,Cancelled,W002,E005
O0263,C038,2025-05-26,Cancelled,W001,E003
O0264,C042,2025-01-23,Shipped,W001,E003
O0265,C032,2025-01-02,Shipped,W002,E004
O0266,C075,2025-05-27,Delivered,W002,E006
O0267,C060,2025-03-20,Delivered,W002,E009
O0268,C038,2025-04-05,Cancelled,W001,E004
O0269,C059,2025-06-05,Shipped,W002,E009
O0270,C098,2025-03-05,Cancelled,W001,E009
O0271,C010,2025-05-25,Delivered,W001,E009
O0272,C022,2025-03-25,Cancelled,W002,E002
O0273,C012,2025-05-11,Shipped,W001,E008
O0274,C059,2025-05-25,Delivered,W002,E005
O0275,C096,2025-02-25,Cancelled,W001,E001
O0276,C070,2025-01-16,Delivered,W002,E001
O0277,C099,2025-06-14,Cancelled,W002,E006
O0278,C011,2025-06-24,Cancelled,W001,E006
O0279,C051,2025-05-16,Delivered,W001,E001
O0280,C087,2025-05-20,Shipped,W002,E004
O0281,C020,2025-03-12,Delivered,W001,E001
O0282,C027,2025-01-18,Delivered,W001,E008
O0283,C095,2025-01-12,Shipped,W002,E004
O0284,C038,2025-03-01,Cancelled,W002,E010
O0285,C019,2025-06-19,Cancelled,W001,E007
O0286,C076,2025-02-14,Cancelled,W002,E009
O0287,C086,2025-04-08,Cancelled,W002,E007
O0288,C024,2025-05-18,Shipped,W001,E004
O0289,C008,2025-05-24,Shipped,W002,E009
O0290,C027,2025-03-26,Cancelled,W001,E008
O0291,C025,2025-01-14,Shipped,W002,E010
O0292,C093,2025-06-21,Cancelled,W001,E008
O0293,C002,2025-02-24,Delivered,W001,E008
O0294,C091,2025-02-22,Shipped,W001,E009
O0295,C069,2025-06-16,Shipped,W002,E005
O0296,C013,2025-05-01,Shipped,W001,E006
O0297,C029,2025-02-07,Delivered,W002,E009
O0298,C020,2025-02-20,Shipped,W001,E007
O0299,C088,2025-03-28,Shipped,W002,E008
O0300,C022,2025-02-05,Cancelled,W002,E003
